|conf-default_text|De standaardwaarde is OK in de meeste gevallen <br /> Alleen dit veranderen als u zeker weet.
|conf-WXsoftware|Wat weer-programma gebruikt u:
|conf-region|Selecteer het deel van de wereld voor de locatie van uw weerstation:
|conf-organ|De naam van uw weerstation zonder speciale tekens:
|conf-wlink_key|Als gebruiker van Davis Weatherlink.com heb je een sleutel toegang tot uw gegevens
|conf-wlink_pw|En een wachtwoord dat u gebruikt om instellingen in het weeatherlink.com plaats & lt ingesteld; br />. Dat wachtwoord wordt daarom gebruikt om uw gegevens te laden in de weer-template om de 5 minuten
|conf-yourArea|Een relatieve korte naam voor het gebied / regio uw weerstation is in de <br /> Het zal worden weergegeven op elke pagina header en op de prognose pagina's ..
|conf-latitude|Latitude (en NextField lengtegraad) worden waarschijnlijk dus opgegeven in uw Weatherprogram en worden hier gebruikt voor Earthquake rapporten, Sterrenkunde en prognoses <br />. Voorbeeld: 50,8500 is voor Leuven in België en 41,30068 is voor Brand Ford CT, USA. <br /> Ten noorden van de evenaar is positief (= geen teken). Ten zuiden van de evenaar heeft een - teken.
|conf-longitude|Voor breedtegraden links van Greenwich een - teken nodig is. <br /> Voorbeeld: 4,3400 is voor Leuven in België en-72,793671 is voor Brand Ford CT, USA.
|conf-tz|Selecteer uw tijdzone uit de keuzelijst
|conf-WUregion|Selecteer uw regio voor de Wunderground regionale kaarten
|conf-radarStation|Gebruik de onderstaande knop. Standaard is de kaart VS wordt getoond. Voor Canadese stations, zie hieronder. Selecteer uw regio door te klikken op de kaart, niet de bezielde knop niet gebruiken op dit moment. Voorbeeld je aankomt op pagina <br /> <a href = "http://www.wunderground.com/weather-radar/united-states-regional/nc/charlotte" target = "_ blank"> &lt;b>&lt;small>http://www.wunderground.com/weather-radar/united-states-regional/nc/charlotte&lt;/small>&lt;/b>&lt;/a>&lt;br /> Ga naar een van de radars (blauwe ronde gebied) bijvoorbeeld bij Jacksonville en een ronde met de naam van het station (Morehead) en de drie lettercode (MHX voor dit voorbeeld) Verschijnt <br /> <br /> Voor Canada moet je eerst naar Canada in de onderstaande "Weer radarkaarten" links te selecteren. Klik vervolgens op het witte <b> + </ b> -tekens te komen op uw WU radarstation. De 3-lettercode in de browser adresregel.
|conf-caProvince|Selecteer uw provincie hier.
|conf-caCityCode|Selecteer dichtstbijzijnde stad. De selectie Hier is Engels namen alleen maar Franse schepen wordt gebruikt in de scripts uitvoeren wanneer nodig.
|conf-caAQHI|Wilt u een air-quility Health Index Weergegeven. Controleer in de lijst hieronder als er te indexeren eerst zoeken naar uw omgeving.
|conf-aqhiArea|Selecteer dichtstbijzijnde stad. De selectie Hier is Engels namen alleen maar Franse schepen wordt gebruikt in de scripts uitvoeren wanneer nodig.
|conf-lang|De standaardtaal (dat is voor het eerst getoond) voor uw website.
|conf-METAR|De "METAR" code kan worden gebruikt om de huidige verkrijgen weersomstandigheden en als anders niet beschikbaar te almanak gegevens te verkrijgen voor uw gebied. <br /> Gebruik Google naar de dichtstbijzijnde METAR om uw stad te vinden.
|conf-yaPlaceID|De beste oplossing voor die de huidige omstandigheden te verkrijgen is om Yahoo te gebruiken. . Voor dat je nodig hebt een Yahoo ID City <br /> <b> HOE </ b>: Ga naar de Yahoo website en doe een zoektocht naar Leuven, instemmen met de voorgestelde <b lt> "Leuven, Vlaams Brabant, BE" &; / b> en zie je de volgende regel in uw browser adresveld: <br /> https://weather.yahoo.com/belgium/vlaams-brabant/leuven-973505/ <br /> Het nummer 973505 is het yahoo id plek voor Leuven. U kunt een soortgelijke aanpak wordt gebruikt om uw eigen ID en je moet het plaatst in de instelling.
|conf-curCondFrom|Selecteer de bron van de huidige omstandigheden te krijgen van.
|conf-pageWidth|Pagina-width: De standaard waarde is OK in de meeste gevallen <br /> Alleen dit veranderen als u zeker weet ..
|conf-menuWidth|Menu-width: De standaard waarde is OK in de meeste gevallen <br /> Alleen dit veranderen als u zeker weet ..
|conf-menuPlace|Het menu kan worden gebracht hetzij verticale links (standaard) of net onder de header.
|conf-maintenanceShow|De gele box kan worden getoond of verborgen met behulp van deze instelling.
|conf-maintenanceTxt|<span style = "float: left;"> uit de programmer: </ span> <br /> Ik gebruik deze gele doos, zodat voor informatie over de nieuwe pagina's toegevoegd of voor een waarschuwing dat bepaalde pagina's worden tijdelijk uitgeschakeld vanwege problemen met een prognose-organisatie. <br /> Ofwel passen de standaardtekst evry tijd of het gebruik van meerdere tekstbestanden.
|conf-header|De standaard selectie is het weer waarden weergegeven met behulp van de meters van de <br />. De volgende keuze toont de belangrijkste waarden in het weer altijd zichtbaar tekstblok. <br> De laatste keuze heeft de minste hoeveelheid ruimte als het gebruik maakt van een roterende lijn om alle waarden weer te geven.
|conf-colorNumber|Default de kleur-stijl is ingesteld op "-weather Aangepast" zo ook het actuele weer-omstandigheden worden gebruikt om de back-gemalen beeld en de kleur-regeling in te stellen.
|conf-sideDisplay|Als u de standaard geselecteerde verticale menu van de side display is altijd Ongeacht de instelling hier getoond.
|conf-bottomDysplay|The-gebied kant en bottom-gebied kan worden gebruikt om interessante links weer te geven
|conf-bannerTop|Als u wilt zetten wat toevoegt of aanvullende informatie over de bovenkant van de pagina
|conf-bannerTopTxt|Gebruik dit bestand of typ de locatie van uw eigen bestand
|conf-bannerBottom|Als u wilt zetten wat toevoegt of aanvullende informatie aan de onderkant van de pagina
|conf-bannerBottomTxt|Gebruik dit bestand of typ de locatie van uw eigen bestand
|conf-stripAll|De verschillende pagina's van het sjabloon kan worden ingeroepen van binnen de Joomla menu dat is een standaard installatie van Joomla. Met "stripAll" ingesteld op true zal er geen koptekst, voettekst en nee en geen Side Area getoond. De horizontale menu wordt gebruikt.
|conf-stripMenu|Met "stripMenu" ingesteld op true, het menu is niet zo getoond.
|conf-langFlags|Standaard zijn er kleine land vlaggen getoond naast de taalkeuze <br />. Schakel de weergave van de scriptie kleine vlaggen hier.
|conf-partners|Partners Organisaties zijn u weer informatie te uploaden, bijvoorbeeld "Weather Underground". Hier kiest u of en waar u informatie wilt over proefschrift bedrijven weer te geven.
|conf-equipment|Wilt u en waar u informatie over de computer, Weatherprogram, webhost u gebruikt om uw website weer draaien weer te geven.
|conf-otherWS|De websites van vrienden a.s.o. kan alleen worden getoond in de zijkant gebied.
|conf-socialSiteSupport|U kunt hypothese "sociale site" knoppen weer in de zijkant gebied, (3 grote pictogrammen) of in de header (on all-in-1 icon). De pictogrammen en alle benodigde javascript code worden gegenereerd met behulp van de gratis "addthis.com" service.
|conf-socialSiteKey|Wilt u een beter inzicht in uw bezoekers moet u vragen om uw eigen gratis sleutel
|conf-sociale site code|scripts: De standaard waarde is OK in de meeste gevallen <br /> Alleen dit veranderen als u zeker weet ..
|conf-wrnRain|beeld Kleine regen radar: Het beeld kan worden aangetoond of altijd op basis van het weer-voorwaarden of waarschuwingen. <br /> Wanneer de website bezoeker klikt op het beeld een grotere afbeelding bovenaan de pagina wordt weergegeven.
|conf-wrnLightning|beeld Kleine donder radar
|conf-donateButton|Default Er is geen doneren knop getoond <br />. BELANGRIJK: U moet de Paypal code eerste genereren.
|conf-donateCode|Zet de link naar <b> Uw </ b> PayPal doneren code hier.
|conf-waarschuwingen|Toon (optioneel) meteo waarschuwingen op elke pagina.
|conf-useCurly|Voor Regio VS de standaard waarschuwingen scripts NOAA gebruikt als bron voor "een gebied" -warnings. De gebruikers in de VS kan hier kiezen, zodat de meer uitgebreide Curly scripts. Deze scripts maken het mogelijk om meerdere waarschuwingen meerdere gebieden weergegeven. Als men kiest Hanes Curly scripts de aanpassing worden gedaan door het wijzigen van de instelling in de scripts map in de nieuwste NWS weer ?? / USA /
|conf-waarschuwing gebied|U vindt uw netnummer door te bladeren naar uw gebied op het alarm ter plaatse. <br /> Voorbeeld: http://www.meteoalarm.eu/en_UK/0/0/&lt;b>UK012&lt;/b>-East_of_England.html <br /> Hier <b> UK012 </ b> is de code voor Oost-Engeland. Een andere code is <b> BE004 </ b> voor Vlaams Brabant.
|conf-warnAreaNoaa|De voorbeeld = CT009 is een gebied in Connecticut. U kunt uw eigen netnummer op de link hieronder te vinden. Scroll naar beneden op de pagina en je hebt een "State (Zone Lijst|County List)" te vinden. Klikken op Ofwel zone of County lijst voor uw staat een lijst van alle codes die u hier kunt gebruiken.
|conf-waarschuwing in|de standaard waarschuwingen wordt getoond voor alles op de pagina. Als u de waarschuwing Inside uw pagina Selecteer hier deed.
|conf-waarschuwing Green|Wilt u een DisplayMessage Dus Als er geen waarschuwing, selecteer hier deed.
|conf-warningsXtnd|Als u de hele tekst van de waarschuwing weergegeven op uw pagina wilt, selecteert u hier deed. Wees voorzichtig, met zorg gebruiken. De hele tekst kan zeer groot, bijvoorbeeld niet gebruiken in België of de helft van uw raam zal gebruikt worden door de waarschuwing.
|conf-waarschuwing detail|Het aantal individuele waarschuwingen voordat waarschuwingen worden gecombineerd. Want soms zijn er zo veel weer-waarschuwingen deed om veel ruimte op het scherm wordt verspild.
|conf-warn1Box|om alle afzonderlijke waarschuwingen in één doos te zetten, opnieuw om minder ruimte te gebruiken in het browservenster.
|conf-waarschuwingspagina|Wilt u uw eigen pagina gebruiken Als gedetailleerde informatie wordt gevraagd of moet de bezoeker direct naar de weerswaarschuwing website.
|conf-noChoice|Selecteer de eerste pagina uw bezoekers zal gaan wanneer ze uw site bezoeken voor de eerste keer
|conf-statsCode|Gebruik een externe statistieken teller op uw website te meten
|conf-statsCodeTxt|Vervang de standaard teller code met uw eigen code Verkregen uit histats.com.
|conf-floatTop|Gebruik een "zwevende" go-to-top marker te snel naar de top van de pagina, handig voor lange pagina's.
|conf-floatTopTxt|Gebruik de template code voor deze voorziening of punt om uw eigen code.
|conf-skipTop|Behalve op de startpagina, ga direct naar de gegevens deel van een pagina om meer informatie weer te geven
|conf-ajax gizmo tonen|Met deze facilty een roterende lijn weer te geven met een andere waarde op elke lijn weer
|conf-show bezoekers|Gebruik een bezoekers teller in de voettekst en dus een pagina met bezoekers van de laatste 4 dagen.
|conf-geoKey|Als u een vlag en extra info over de bezoeker u "geolookup" moeten omvatten. Deze versie van de sjabloon suppports een betaald abonnement http://www.ipgp.net als verlenging.
|conf-bestand bezoeker|Het IP info over uw bezoekers wordt bewaard in dit bestand (in de cache directory), indien niet aanwezig het is gemaakt
|conf-België|Sommige Europese pagina's zijn enkel geldig voor dit land
|conf-Nederland|Sommige Europese pagina's zijn enkel geldig voor dit land
|conf-useMobile|Er zijn een paar pagina's met ondersteuning voor telefoons en andere kleine apparaten met op internet browser. U kunt deze pagina controleren zelf uit het menu om te zien wat possibillities hier worden aangeboden. Wanneer bezoekers met een tablet blader naar uw site, worden ze doorverwezen naar de normale site. Alleen kleine screen smartphones zijn gericht op de mobiele pagina's.
